event_id,particle_index,pdg,charge,pt,eta,phi,mass,energy,is_final
10,44,22,0,0.196731,0.151872,-1.53323,0,0.199004,1
10,45,22,0,0.129141,-0.933301,-2.48982,0,0.189588,1
10,46,22,0,0.269018,-0.904037,-1.74944,0,0.386644,1
10,47,22,0,0.640743,-1.79211,-0.162382,0,1.97628,1
10,48,22,0,0.13044,-1.6291,-0.603399,0,0.345366,1
10,49,22,0,0.109936,1.93078,2.97604,0,0.386968,1
10,50,22,0,0.152081,1.02335,2.51564,0,0.238911,1
10,51,22,0,0.169047,0.829507,1.67577,0,0.230619,1
10,52,22,0,0.0898831,1.80328,1.25614,0,0.280178,1
10,53,22,0,0.156669,1.58992,1.39818,0,0.400079,1
10,54,22,0,0.0344266,0.590037,3.11556,0,0.0405952,1
11,18,2112,0,0.305422,-3.80829,2.04722,0.93957,6.95039,1
11,20,211,1,0.179488,-0.0230627,2.37099,0.13957,0.227404,1
11,24,2212,1,0.856357,2.39893,1.3199,0.93827,4.84544,1
11,25,22,0,0.214107,-2.11092,0.702291,0,0.896784,1
11,26,22,0,0.288343,-2.46891,1.11208,0,1.71481,1
11,27,22,0,0.866677,1.19996,-1.96348,0,1.56921,1
11,28,22,0,0.851784,1.35188,-1.92403,0,1.75614,1
11,32,22,0,0.0491664,2.52712,0.0011433,0,0.309681,1
11,33,22,0,0.0701821,0.569974,-0.243976,0,0.0818942,1
11,34,22,0,0.0880626,1.92945,1.85948,0,0.309582,1
11,35,22,0,0.0413117,2.8963,-1.32469,0,0.375156,1
11,36,22,0,0.276288,1.90076,-0.153149,0,0.944963,1
11,37,22,0,0.0180869,0.222065,-0.471981,0,0.0185347,1
12,3,2212,1,0.530458,3.6111,0.287236,0.93827,9.86713,1
12,8,2212,1,0.186444,-4.51521,2.71848,0.93827,8.57273,1
12,9,211,1,0.271173,-1.63386,2.85562,0.13957,0.734536,1
12,10,-211,-1,0.352636,-0.878421,-1.98719,0.13957,0.516864,1
12,12,22,0,0.089273,-1.12647,-0.384218,0,0.152162,1
12,13,22,0,0.055859,-1.69044,1.9121,0,0.156581,1
13,27,321,1,0.472998,1.45553,1.56833,0.49368,1.17747,1
13,28,-321,-1,0.550924,2.0113,-2.45901,0.49368,2.15276,1
13,29,2212,1,0.537999,3.05618,-0.142657,0.93827,5.80423,1
13,30,211,1,0.620972,0.0407667,1.29087,0.13957,0.636967,1
13,32,2212,1,0.534848,-2.41386,-3.09109,0.93827,3.15565,1
13,34,-211,-1,0.182464,-0.0502926,0.861916,0.13957,0.229907,1
13,36,22,0,0.0735726,0.699714,-2.12497,0,0.0923301,1
13,37,22,0,0.301103,-0.116068,-2.47197,0,0.303134,1
13,38,22,0,0.233874,-2.76257,-0.401586,0,1.85973,1
13,39,22,0,0.286873,-1.50421,1.51068,0,0.677419,1
13,40,22,0,0.104615,-0.275293,-1.52468,0,0.108604,1
13,41,22,0,0.342038,-0.136092,-2.23964,0,0.345211,1
13,42,22,0,0.12871,-1.29257,-3.03202,0,0.252058,1
13,43,22,0,0.157475,-1.85869,-2.25802,0,0.517402,1
13,44,22,0,0.2467,-1.46449,-1.336,0,0.562051,1
13,45,22,0,0.173626,-1.15269,-0.755752,0,0.302326,1
13,46,22,0,0.206546,-1.71025,0.486272,0,0.58981,1
13,47,22,0,0.257879,-2.24668,0.268265,0,1.23293,1
14,3,2212,1,0.451703,3.73994,-1.6865,0.93827,9.5589,1
14,7,321,1,0.612767,-0.15491,0.923529,0.49368,0.792645,1
14,9,-211,-1,0.0377366,-5.64201,1.30067,0.13957,5.32331,1
14,11,211,1,0.0303901,-1.94504,1.79503,0.13957,0.176749,1
14,12,2212,1,0.365989,-2.9706,-2.65125,0.93827,3.6994,1
14,13,-211,-1,0.0662505,-2.54984,1.53763,0.13957,0.448999,1
15,18,211,1,0.54963,0.536548,-0.282259,0.13957,0.64592,1
15,19,2212,1,0.534574,3.03003,2.64084,0.93827,5.62402,1
15,28,2112,0,0.205555,-2.94222,-2.78966,0.93957,2.16804,1
15,29,130,0,0.437858,2.04174,-1.68723,0.49761,1.78578,1
15,31,211,1,0.2252,-0.722155,1.3825,0.13957,0.318704,1
15,32,-211,-1,0.381837,-1.81034,-3.11281,0.13957,1.20633,1
15,33,22,0,0.430215,1.96122,0.91291,0,1.55924,1
15,34,22,0,0.191951,0.410904,0.0435295,0,0.208385,1
15,40,22,0,0.0272123,-2.82809,-2.60069,0,0.230928,1
15,41,11,-1,0.0477908,-2.76601,1.12553,0.000511,0.381322,1
15,42,-11,1,0.132604,-2.70073,1.0956,0.000511,0.991726,1
15,43,22,0,0.117616,-3.419,2.13895,0,1.79787,1
15,44,22,0,0.0960956,-3.40004,-2.76886,0,1.44137,1
15,45,22,0,0.0742685,-2.51561,-2.45664,0,0.462504,1
